"Outstanding
business loans,
SMEs",AUD billion,189,204.6,204.7,225.2,235.9,239.9,243.1,251.4,261.5,271.4,281.4,283.7,426.6,421.2
"Outstanding
business loans,
total",AUD billion,699.9,767.3,713.2,689.2,712.7,732.5,744.8,778.2,831.8,875.1,903.9,954.2,976.2,986.9
"Share of SME
outstanding loans","% of total
outstanding
business
loans",27.03,26.66,28.71,32.68,33.11,32.76,32.64,32.30,31.44,31.01,31.13,29.73,43.71,42.68
"New business
lending, total",AUD billion,375.0,336.1,265.5,265.8,310.7,273.8,292.4,360.5,391.7,341.8,346.0,346.9,..,..
"New business
lending, SMEs",AUD billion,77.5,79.9,69.6,82.5,81.6,73.7,79.1,85.4,91.2,86.7,79.7,76.7,185.2,80
"Share of new SME
lending","% of total
new lending",20.67,23.77,26.20,31.04,26.25,26.91,27.06,23.69,23.27,25.37,23.03,22.11,..,..
"Non-performing
loans, total","% of all
business
loans",0.50,2.07,3.27,3.55,3.16,2.68,2.03,1.39,1.01,1.13,0.78,0.81,0.92,1.02
"Interest rate,
SMEs",%,8.66,8.04,7.60,8.40,8.02,7.13,6.54,6.27,5.63,5.36,5.28,5.33,4.18,3.40
"Interest rate, large
firms",%,7.95,6.34,5.94,7.02,6.74,5.50,4.77,4.60,3.90,3.49,3.43,3.72,2.48,1.63
"Interest rate
spread",% points,0.71,1.70,1.66,1.38,1.28,1.62,1.77,1.67,1.73,1.86,1.85,1.61,1.70,1.77
