"Outstanding business
loans, SMEs",AUD billion,188.7,203.9,203.6,223.6,234.3,238.3,241.4,250.0,260.4,270.4,280.3,285.4
"Outstanding business
loans, total",AUD billion,710.3,771.3,720.7,705.1,713.8,736.8,748.6,783.3,833.6,879.6,907.3,968.1
"Share of SME
outstanding loans","% of total
outstanding
business
loans",26.57,26.43,28.25,31.71,32.82,32.34,32.24,31.91,31.24,30.74,30.90,29.48
"New business lending,
total",AUD billion,375.0,336.1,265.5,265.8,310.7,273.8,292.4,360.5,391.7,341.8,346.0,346.9
"New business lending,
SMEs",AUD billion,77.5,79.9,69.6,82.5,81.6,73.7,79.1,85.4,91.2,86.7,79.7,76.7
"Share of new SME
lending","% of total
new lending",20.67,23.77,26.20,31.04,26.25,26.91,27.06,23.69,23.27,25.37,23.03,22.11
"Non-performing loans,
total","% of all
business
loans",0.50,2.07,3.27,3.55,3.16,2.68,2.03,1.39,1.01,1.13,0.78,0.81
"Interest rate, SMEs",%,8.56,7.99,7.56,8.29,7.94,7.07,6.43,6.18,5.58,5.29,5.23,5.29
"Interest rate, large
firms",%,7.60,6.16,5.85,6.67,6.37,5.29,4.29,4.15,3.59,3.20,3.23,3.56
Interest rate spread,% points,0.96,1.83,1.71,1.62,1.57,1.78,2.14,2.03,1.99,2.09,2.00,1.73
