"0-Outstanding business
loans, SMEs",1-EUR billion,2-..,3-..,4-..,5-..,6-..,7-..,8-..,9-293,10-258,11-247,12-263,13-229
"Outstanding business
loans, total",EUR Billion),893,952,915,896,840,708,609,545,518,493,477,446
"Share of SME
outstanding loans","% of total
outstanding
business loans",..,..,..,..,..,..,..,53.79,49.85,50.10,55.14,51.35
"New business lending,
total",EUR Billion),991,929,868,665,527,485,393,357,393,323,339,347
"New business lending,
SMEs",EUR Billion,394,357,263,210,174,146,134,147,165,170,184,175
"Share of new SME
lending","% of total new
lending",39.76,38.43,30.30,31.58,33.02,30.10,34.10,41.18,41.98,52.63,54.28,50.43
"Outstanding short-term
loans, SMEs",EUR,379,346,246,196,166,139,126,135,154,153,163,157
"Outstanding long-term
loans, SMEs",EUR,15,11,17,14,8,7,9,11,12,17,21,18
"Share of short-term SME
lending","% of total SME
lending",96.19,96.92,93.54,93.33,95.40,95.21,93.33,92.47,92.77,90.00,88.59,89.71
"Government loan
guarantees, SMEs",EUR Million,5 550,7 700,11 000,10 100,12 000,11 000,13 000,9 100,7 600,6 500,3 110,0
"Government guaranteed
loans, SMEs",EUR Million,5 210,7 053,5 906,7 236,7 502,4 974,2 064,938,273,109,42,30
"Direct government loans,
SMEs",EUR Million,10 103,12 384,19 916,23 740,26 221,23 599,23 648,22 588,21 481,20 734,20 525,20 625
"Non-performing loans,
total","% of all business
loans",..,..,..,5.81,7.84,10.43,13.62,12.51,10.12,9.11,7.79,..
"Interest rate, SMEs",%,5.96,5.51,3.63,3.78,4.95,4.91,4.79,3.86,3.01,2.44,2.15,1.89
"Interest rate, large firms",%,5.33,4.30,2.16,2.57,3.36,2.61,2.69,1.99,1.97,1.56,1.56,1.69
Interest rate spread,% points,0.63,1.21,1.47,1.21,1.59,2.30,2.10,1.87,1.04,0.88,0.59,0.20
"Collateral, SMEs","% of SMEs
needing collateral
to obtain bank
lending",..,..,..,35.19,34.36,31.45,30.00,31.22,28.24,25.89,26.04,24.05
"Percentage of SME loan
applications","SME loan
applications/ total
number of SMEs",..,..,38.07,36.25,34.67,31.89,31.49,34.36,33.81,32.80,28.14,28.60
Rejection rate,"1-(SME loans
authorised/
requested)",..,..,22.74,15.87,12.83,18.47,12.85,9.77,7.87,6.95,4.75,5.95
